Datum,Startzeit,Spielort,Heim,Gast
14.04.2023,19:00,"Ducksfield, Wiener Neustadt",Wr. Neustadt Diving Ducks,Traiskirchen Grasshoppers
15.04.2023,13:00,"Hoppersfield, Traiskirchen",Traiskirchen Grasshoppers,Wr. Neustadt Diving Ducks
15.04.2023,13:00,"Ballpark am See, Hard",Hard Bulls,Dornbirn Indians
15.04.2023,15:30,"Ballpark am See, Hard",Hard Bulls,Dornbirn Indians
16.04.2023,13:00,"Ballpark Freudenau, Wien",Vienna Metrostars,Vienna Wanderers
16.04.2023,15:30,"Ballpark Freudenau, Wien",Vienna Metrostars,Vienna Wanderers
21.04.2023,19:00,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Traiskirchen Grasshoppers
22.04.2023,13:00,"Hoppersfield, Traiskirchen",Traiskirchen Grasshoppers,Vienna Wanderers
22.04.2023,13:00,"Ducksfield, Wiener Neustadt",Wr. Neustadt Diving Ducks,Hard Bulls
22.04.2023,15:30,"Ducksfield, Wiener Neustadt",Wr. Neustadt Diving Ducks,Hard Bulls
23.04.2023,12:00,"Sportanlage Rohrbach, Dornbirn",Dornbirn Indians,Schwechat Blue Bats
23.04.2023,14:30,"Sportanlage Rohrbach, Dornbirn",Dornbirn Indians,Schwechat Blue Bats
29.04.2023,11:00,"Hoppersfield, Traiskirchen",Traiskirchen Grasshoppers,Dornbirn Indians
29.04.2023,13:30,"Hoppersfield, Traiskirchen",Traiskirchen Grasshoppers,Dornbirn Indians
29.04.2023,13:00,"Batsfield, Rannersdorf",Schwechat Blue Bats,Vienna Wanderers
29.04.2023,15:30,"Batsfield, Rannersdorf",Schwechat Blue Bats,Vienna Wanderers
30.04.2023,13:00,"Ballpark Freudenau, Wien",Vienna Metrostars,Wr. Neustadt Diving Ducks
30.04.2023,15:30,"Ballpark Freudenau, Wien",Vienna Metrostars,Wr. Neustadt Diving Ducks
05.05.2023,19:00,"Ballpark Spenadlwiese, Wien",Vienna Wanderers,Schwechat Blue Bats
