Jahr,Liga,Team,Player,BA,G,PA,AB,R,H,2B,3B,HR,RBI,SH,SF,HP,BB,IBB,K,SB,CS,GDP,SLG,OBP,OPS,,,,,,
2017,1. Liga (BLA),Bulls,Simon Peter,0.322,28,134,118,33,38,3,0,0,12,0,2,3,11,0,15,10,1,3,0.347,0.388,0.736,,,,,,
2017,1. Liga (BLA),Bulls,Clemens Cichocki,0.245,28,126,98,20,24,6,0,0,16,0,4,4,20,0,20,0,0,2,0.306,0.381,0.687,,,,,,
2017,1. Liga (BLA),Bulls,Erwin Frias,0.333,24,120,111,27,37,6,3,2,21,0,0,2,7,0,12,13,0,0,0.495,0.383,0.879,,,,,,
2017,1. Liga (BLA),Bulls,Jose Ruiz,0.424,26,123,99,28,42,11,1,5,23,0,2,0,22,0,4,9,4,2,0.707,0.520,1.227,,,,,,
2017,1. Liga (BLA),Bulls,Roldan Ochoa,0.289,26,100,83,13,24,6,1,1,24,1,1,4,11,0,13,3,1,0,0.422,0.394,0.816,,,,,,
2017,1. Liga (BLA),Bulls,Hubert Böhler,0.258,25,106,89,14,23,5,0,0,18,2,3,6,6,0,15,0,0,2,0.315,0.337,0.651,,,,,,
2017,1. Liga (BLA),Bulls,Carlos Gabriel,0.222,24,92,81,13,18,5,0,0,9,0,0,8,3,0,17,2,1,1,0.284,0.315,0.599,,,,,,
2017,1. Liga (BLA),Bulls,Richard Kranabetter,0.167,21,80,66,10,11,2,0,0,10,1,0,8,5,0,11,1,1,0,0.197,0.304,0.501,,,,,,
2017,1. Liga (BLA),Bulls,Marcel Winder,0.411,18,68,56,15,23,4,0,1,12,1,0,0,11,0,9,3,2,0,0.536,0.507,1.043,,,,,,
2017,1. Liga (BLA),Bulls,Gerald Schöneberg,0.102,16,56,49,5,5,0,0,1,9,2,1,1,3,0,13,1,0,0,0.163,0.167,0.330,,,,,,
2017,1. Liga (BLA),Bulls,Hannes Moosbrugger,0.118,16,39,34,1,4,0,0,0,1,1,0,1,3,0,16,0,1,1,0.118,0.211,0.328,,,,,,
2017,1. Liga (BLA),Bulls,Bruno Buzinkay,0.171,12,45,35,9,6,1,0,0,1,0,1,0,9,0,7,0,0,0,0.200,0.333,0.533,,,,,,
2017,1. Liga (BLA),Bulls,Mathias Lechleitner,0.158,9,21,19,1,3,0,0,0,1,0,0,0,2,0,7,1,0,0,0.158,0.238,0.396,,,,,,
2017,1. Liga (BLA),Bulls,Luca Mäser,0.286,6,7,7,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.286,0.286,0.571,,,,,,
2017,1. Liga (BLA),Bulls,Kirian Pichler,0.250,5,4,4,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0.250,0.250,0.500,,,,,,
2017,1. Liga (BLA),Bulls,Pascal Campregher,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
