Jahr,Liga,Team,Player,W,L,ERA,G,GS,CG,Sho,Sv,IP,R,ER,H,2B,3B,HR,SH,SF,HB,BB,IBB,K,WP,Bk,AB,BAVG,,W,l
2017,1. Liga (BLA),Bulls,Roldan Ochoa,8,4,3.51,13,13,3,1,0,95,55,37,92,10,4,3,3,2,4,31,0,87,11,3,376,0.245,,8,4
2017,1. Liga (BLA),Bulls,Clemens Cichocki,3,4,5.59,8,7,2,0,0,48.34,36,30,57,14,0,2,3,1,5,13,0,30,1,0,201,0.284,,3,4
2017,1. Liga (BLA),Bulls,Simon Peter,0,1,8.80,9,1,0,0,0,30.67,31,30,38,5,3,2,0,2,6,17,0,17,4,1,128,0.297,,0,1
2017,1. Liga (BLA),Bulls,Carlos Gabriel,0,3,13.20,9,3,0,0,0,15,26,22,21,7,0,1,2,2,8,23,0,9,6,2,63,0.333,,0,3
2017,1. Liga (BLA),Bulls,Kirian Pichler,0,2,7.36,4,3,0,0,0,11,10,9,14,2,0,1,0,1,1,16,0,1,2,1,44,0.318,,0,2
2017,1. Liga (BLA),Bulls,Erwin Vals Frias,0,1,7.20,6,1,0,0,1,10,15,8,19,3,0,0,0,3,1,7,0,4,1,0,46,0.413,,0,1
2017,1. Liga (BLA),Bulls,Jose Ruiz,0,0,3.72,4,0,0,0,1,9.67,4,4,9,3,0,1,1,1,2,11,0,3,1,1,35,0.257,,0,0
2017,1. Liga (BLA),Bulls,Bruno Buzinkay,1,0,11.57,4,0,0,0,0,7,9,9,11,2,0,2,0,0,0,3,0,3,0,0,32,0.344,,1,0
2017,1. Liga (BLA),Bulls,Hubert Böhler,0,1,13.50,1,0,0,0,0,2,5,3,4,2,0,0,1,0,2,1,0,0,0,0,11,0.364,,0,1
2017,1. Liga (BLA),Bulls,Richard Kranabetter,0,0,9.00,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,2,0.000,,0,0
