Jahr,Liga,Team,Player,W,L,ERA,G,GS,CG,Sho,Sv,IP,R,ER,H,2B,3B,HR,SH,SF,HB,BB,IBB,K,WP,Bk,AB,BAVG,,W,L
2022,1. Liga (BBL),Bulls,Hokuto Kanai,4,7,3.55,15,13,4,3,0,109,48,43,112,23,4,3,6,2,5,16,2,119,2,0,430,0.260,,4,7
2022,1. Liga (BBL),Bulls,Jonas Zimmermann,3,3,7.15,12,7,0,0,1,45.3333333333,42,36,54,13,0,3,3,1,10,37,2,23,5,1,184,0.293,,3,3
2022,1. Liga (BBL),Bulls,Levin Maier,2,5,6.69,11,4,0,0,1,36.3333333299997,34,27,37,12,1,1,0,3,12,29,2,22,4,4,140,0.264,,2,5
2022,1. Liga (BBL),Bulls,Kirian Pichler,2,0,6.21,9,4,0,0,0,33.33333333333,27,23,51,13,1,3,2,4,3,23,0,13,0,0,140,0.364,,2,0
2022,1. Liga (BBL),Bulls,Zachary Holt,1,1,5.40,6,1,0,0,0,11.66666666666,8,7,6,1,1,0,2,0,1,12,0,11,0,0,39,0.154,,1,1
2022,1. Liga (BBL),Bulls,Erwin Frias,1,1,4.35,6,0,0,0,0,10.3333333,11,5,14,2,0,0,0,1,2,10,0,14,4,0,45,0.311,,1,1
2022,1. Liga (BBL),Bulls,Hubert Böhler,0,0,4.35,6,0,0,0,3,10.3333299996667,7,5,7,0,0,1,0,3,1,8,1,6,1,0,33,0.212,,0,0
2022,1. Liga (BBL),Bulls,Marcel Winder,0,0,6.75,2,0,0,0,0,6.66666666666666,12,5,12,5,0,0,0,2,2,5,0,1,0,1,30,0.400,,0,0
2022,1. Liga (BBL),Bulls,Pascal Campregher,0,0,22.85,6,1,0,0,0,4.33333333333333,12,11,4,1,0,0,0,0,2,18,0,4,0,0,18,0.222,,0,0
2022,1. Liga (BBL),Bulls,Luca Mäser,0,0,10.80,2,0,0,0,0,1.66666666666,2,2,0,0,0,0,0,0,3,4,0,2,0,0,4,0.000,,0,0
2022,1. Liga (BBL),Bulls,Daniel Hotz,0,0,0.00,1,0,0,0,0,0.333333333333,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1.000,,0,0
2022,1. Liga (BBL),Bulls,Gregor Paterno,0,1,0,1,1,0,0,0,0,5,4,1,0,0,0,0,0,0,3,0,0,0,0,2,0.500,,0,1
